dice,iou,accuracy,precision,recall,filename,error
0.0756351887208107,0.039303976188659086,0.9146321614583334,0.03956668715427167,0.8554817275747508,RGB_ar037_2019_n_06_04_0.png,0.08536783854166663
0.3051722865786173,0.18006094906399653,0.9361368815104166,0.18346344925479063,0.9066199035510741,RGB_ar037_2019_n_07_05_0.png,0.06386311848958337
0.11662688941925219,0.06192447410661485,0.9246961805555556,0.06279986291980809,0.8162583518930958,RGB_ar037_2019_n_07_17_1.png,0.07530381944444442
0.16403056690954326,0.08934275481560353,0.9361979166666666,0.09059678052610914,0.8658536585365854,RGB_ar037_2019_n_08_14_0.png,0.06380208333333337
0.23982649392157981,0.1362516212710765,0.9096747504340278,0.13869817797729073,0.8853771597134429,RGB_ar037_2019_n_13_13_0.png,0.09032524956597221
0.13163327261687918,0.07045365917067464,0.9515041775173612,0.07090528519099948,0.9170896785109983,RGB_ar039_2019_n_02_04_0.png,0.04849582248263884
0.06360040331963081,0.03284466874949932,0.8362494574652778,0.0331393469123828,0.7869481765834933,RGB_ar039_2019_n_02_10_0.png,0.1637505425347222
0.17585031316895267,0.09640125173852573,0.92950439453125,0.09782992237120677,0.8684416601409554,RGB_ar039_2019_n_03_04_0.png,0.07049560546875
0.06223539373412362,0.032117107275507976,0.8798285590277778,0.032201533406352685,0.9245283018867925,RGB_ar039_2019_n_04_10_0.png,0.12017144097222221
0.10739519547809703,0.05674464907914385,0.9357435438368056,0.057160048134777375,0.8864696734059098,RGB_ar039_2019_n_04_13_0.png,0.06425645616319442
0.2280119482243611,0.1286757819816445,0.9369032118055556,0.1302122820318423,0.916,RGB_ar039_2019_n_04_18_0.png,0.06309678819444442
0.1278186121838794,0.06827255789193505,0.9050428602430556,0.06911883589329022,0.8479338842975207,RGB_ar039_2019_n_04_22_0.png,0.09495713975694442
0.0799015705290584,0.04161326799849227,0.9137844509548612,0.04189435336976321,0.8611544461778471,RGB_ar039_2019_n_05_10_0.png,0.08621554904513884
0.20503661368101447,0.11422885572139303,0.9698147243923612,0.1157258064516129,0.8982785602503912,RGB_ar039_2019_n_06_19_0.png,0.03018527560763884
0.3733650416171225,0.22953216374269006,0.9964260525173612,0.22953216374269006,1.0,RGB_ar039_2019_n_07_11_0.png,0.0035739474826388395
0.333495855680156,0.20011702750146285,0.9907294379340278,0.2016509433962264,0.9633802816901409,RGB_ar039_2019_n_08_11_0.png,0.00927056206597221
0.17106755224364167,0.09353410097431356,0.9652981228298612,0.09421841541755889,0.9279437609841827,RGB_ar039_2019_n_08_14_0.png,0.03470187717013884
0.18387289769327927,0.10124450951683749,0.9167412651909722,0.10290178571428571,0.8627573300062383,RGB_ar039_2019_n_08_16_0.png,0.08325873480902779
0.21937306459499104,0.12319990236758604,0.9025539822048612,0.1266624843161857,0.8184029185245237,RGB_ar039_2019_n_09_02_0.png,0.09744601779513884
0.27723977082593926,0.16092765907351816,0.9033270941840278,0.1659786304031083,0.8409720086127346,RGB_ar039_2019_n_09_09_0.png,0.09667290581597221
0.15987099746602165,0.08688032048072108,0.9752671983506944,0.08753784056508578,0.9204244031830239,RGB_ar039_2019_n_10_07_0.png,0.02473280164930558
0.35699346963165307,0.21728061516080427,0.8978339301215278,0.22932660671199825,0.805314846909301,RGB_ar039_2019_n_11_03_0.png,0.10216606987847221
0.5881751710040097,0.4166063373614746,0.85791015625,0.4516421154310553,0.8430245661482983,RGB_ar039_2019_n_11_09_0.png,0.14208984375
0.18122555410691005,0.0996415770609319,0.9744466145833334,0.1003368623676612,0.9349775784753364,RGB_ar039_2019_n_13_12_0.png,0.02555338541666663
0.16916892279924522,0.09240007169743682,0.9313218858506944,0.09325253256150506,0.909973521624007,RGB_ar039_2019_n_15_16_0.png,0.06867811414930558
0.12161866569449507,0.06474652589084698,0.9183010525173612,0.0658559696778269,0.7935299714557564,RGB_ar039_2019_n_15_18_0.png,0.08169894748263884
0.3820708553532981,0.23614807645777885,0.9571804470486112,0.23992133726647,0.9375600384245918,RGB_ar039_2019_n_16_09_0.png,0.04281955295138884
0.18719908123150317,0.10326510721247563,0.8752102322048612,0.10544386942675159,0.8332677939441604,RGB_ar039_2019_n_16_19_0.png,0.12478976779513884
0.21785383903792785,0.12224240851284714,0.9541286892361112,0.12355718782791186,0.919921875,RGB_ar039_2019_n_17_07_0.png,0.04587131076388884
0.32280357799289305,0.19246617376311406,0.8126017252604166,0.2066390562248996,0.73726631590731,RGB_ar041_2021_n_03_18_0.png,0.18739827473958337
0.26418959817479165,0.15219957081545063,0.8928290473090278,0.1579269650411935,0.807571875889553,RGB_ar041_2021_n_04_15_0.png,0.10717095269097221
0.03811799510724242,0.019429300545180373,0.8853420681423612,0.019563186171455266,0.739514348785872,RGB_ar041_2021_n_04_19_0.png,0.11465793185763884
0.3755483917880602,0.2311847209788123,0.8252834743923612,0.25214815779195415,0.7354979587961644,RGB_ar041_2021_n_06_16_0.png,0.17471652560763884
0.03447698744769875,0.017540871934604903,0.9217529296875,0.017661179698216737,0.7202797202797203,RGB_ar041_2021_n_10_07_0.png,0.0782470703125
