Epoch,Train Loss,Val Loss,IoU,Dice,Accuracy,Time
1,0.001953378640529182,0.0013797071296721697,0.017238646770393152,0.033812008514717884,0.04435524243987008,3.268141269683838
2,0.0013567700982093811,0.0013486704459258665,0.018108517168240516,0.03548716494257968,0.0931463348731566,3.0517613887786865
3,0.0012673313483699327,0.0011831438508428012,0.027680209490344318,0.05365450469771411,0.4222899019048455,3.046854257583618
4,0.0011913735354836617,0.0011564668384380639,0.02133485780808625,0.04166704325248107,0.22991309005222962,3.0996499061584473
5,0.0011452082441084914,0.0014582099562782485,0.04419889343562253,0.08409127597450448,0.6770821903528792,3.127884864807129
6,0.001150558123158084,0.0012382126345376794,0.021185633593585145,0.041364882943097335,0.22315344649754212,3.0906879901885986
7,0.0011060656604564025,0.0011242384207434952,0.023349369161872958,0.04549384944196177,0.3035698365629389,3.039118528366089
8,0.0010831762325122125,0.0010246802703477442,0.03163186495132812,0.06106962490901726,0.497137176856566,3.180065393447876
9,0.0010440077050589025,0.0010683601916146774,0.036814180479032635,0.07064477647187863,0.5775273355205407,3.159508466720581
10,0.0010300577385351061,0.0010724410409845102,0.040971364641969425,0.07838806989912757,0.6238372459840239,3.0696210861206055
11,0.001004320357201828,0.0010471026956414182,0.02773015790985625,0.05379241011799459,0.41355073050166785,3.0807394981384277
12,0.0010192778737594685,0.0010366845914783578,0.045330240199069706,0.08632199220207966,0.6583406255486306,3.0769922733306885
13,0.0009634247075559364,0.0010176821427497391,0.049052834237020226,0.09319351636924116,0.6904698061139396,3.2261898517608643
14,0.0009840910051328441,0.0010533507981259997,0.02916921921463883,0.056459009324460276,0.4458962772669417,3.088658571243286
15,0.0009763089551900824,0.0009568127570673823,0.03408560604815893,0.06574272377066391,0.5309189357114642,3.0504984855651855
16,0.0009182493965555396,0.0011924636589052777,0.023765503761370932,0.04630761428399904,0.3045414270979635,3.039017915725708
17,0.0009266784479324188,0.0011156625793470691,0.0339963684877371,0.06544706937572421,0.5421308881781074,3.0910606384277344
18,0.0009136923886318174,0.0010855626460397616,0.05441913264549819,0.10286270360308024,0.7257458976145541,3.111501932144165
19,0.0008988369786594477,0.0010103973933534387,0.037684778576427935,0.07233600940328369,0.5776480342564958,3.0443296432495117
20,0.0008923669371546971,0.0011676437473700692,0.028914595447319686,0.05599413274989092,0.43253763606039325,3.0705528259277344
